,videoFileName,totalWords,totalNoun,totalConj,totalAdj,totalVerbs,totalAdv,totalPoi,totalMisce,totalWood,totalSwadesh,matchedWords_noSyn,matchedNoun_noSyn,matchedConj_noSyn,matchedAdj_noSyn,matchedVerbs_noSyn,matchedAdv_noSyn,matchedPoi_noSyn,matchedMisce_noSyn,matchedWood_noSyn,matchedSwadesh_noSyn,matchedSentence_noSyn,matchedWords_Syn,matchedNoun_Syn,matchedConj_Syn,matchedAdj_Syn,matchedVerbs_Syn,matchedAdv_Syn,matchedPoi_Syn,matchedMisce_Syn,matchedWood_Syn,matchedSwadesh_Syn,matchedSentence_Syn,matchedWords_Syn_out,matchedNoun_Syn_out,matchedConj_Syn_out,matchedAdj_Syn_out,matchedVerbs_Syn_out,matchedAdv_Syn_out,matchedPoi_Syn_out,matchedMisce_Syn_out,matchedWood_Syn_out,matchedSwadesh_Syn_out,matchedSentence_Syn_out
0,FzQPg4aqNYc_6-1-rgb_front.mp4,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,92V3oH63zbQ_22-1-rgb_front.mp4,6,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,2,,1,1,0,0,0,0,1,1
0,8kAWy2YodzQ_4-1-rgb_front.mp4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,8kAWy2YodzQ_11-1-rgb_front.mp4,3,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,Fz-N1S0swh8_2-8-rgb_front.mp4,5,2,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,3,1,,1,1,0,0,0,0,0,1
0,FzQPg4aqNYc_11-1-rgb_front.mp4,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,0,1,0,0,0,0,0,1
0,92V3oH63zbQ_1-1-rgb_front.mp4,5,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,FZCF7kPIyOk_16-1-rgb_front.mp4,5,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,1
0,-g0iPSnQt6w_2-1-rgb_front.mp4,3,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,2,2,,0,0,0,0,0,0,0,1
0,FZCF7kPIyOk_7-1-rgb_front.mp4,10,6,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,3ddzkmFPEBU_0-1-rgb_front.mp4,7,4,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,1,,0,1,0,0,0,0,0,1
0,8kAWy2YodzQ_9-1-rgb_front.mp4,6,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,-g0sqksgyc4_7-2-rgb_front.mp4,4,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,,0,1,0,0,0,0,0,1
0,Fz-N1S0swh8_5-8-rgb_front.mp4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,8kAWy2YodzQ_6-1-rgb_front.mp4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,92V3oH63zbQ_9-1-rgb_front.mp4,9,3,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,1,4,1,,1,2,0,0,0,0,0,1
0,92V3oH63zbQ_13-1-rgb_front.mp4,6,2,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,,0,1,0,0,0,0,0,1
0,FZCF7kPIyOk_10-1-rgb_front.mp4,5,4,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,,0,0,0,0,0,1,0,1
0,-g0sqksgyc4_6-2-rgb_front.mp4,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,8kAWy2YodzQ_8-1-rgb_front.mp4,5,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,8kAWy2YodzQ_12-1-rgb_front.mp4,3,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,92V3oH63zbQ_8-1-rgb_front.mp4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,FzQPg4aqNYc_5-1-rgb_front.mp4,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,FzQPg4aqNYc_2-1-rgb_front.mp4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,Fz-N1S0swh8_3-8-rgb_front.mp4,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,1,1
0,Fz-N1S0swh8_12-8-rgb_front.mp4,6,3,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,1,2,0,,2,0,0,0,0,0,1,1
0,92V3oH63zbQ_14-1-rgb_front.mp4,5,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
